Rank,Title,Rating,Episodes,URL,Members_Votes,Type,Start Date,Finish Date,Premiered,R-Rating,Generes,Source,Studio
26,Kizumonogatari III: Reiketsu-hen,8.81, (1 eps),https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,"378,878 ",Movie,Jan 2017 , Jan 2017,,unkown,unkown,unkown,unkown
27,Mob Psycho 100 II,8.81, (13 eps),https://myanimelist.net/anime/37510/Mob_Psycho_100_II,"1,134,193 ",TV,Jan 2019 , Apr 2019,Premiered: Winter 2019,unkown,unkown,unkown,unkown
28,Monster,8.81, (74 eps),https://myanimelist.net/anime/19/Monster,"780,922 ",TV,Apr 2004 , Sep 2005,Premiered: Spring 2004,unkown,unkown,unkown,unkown
29,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.8, (12 eps),https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,"431,150 ",TV,Oct 2021 , Dec 2021,Premiered: Fall 2021,unkown,unkown,unkown,unkown
30,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.8, (10 eps),https://myanimelist.net/anime/32935/Haikyuu__Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,"964,964 ",TV,Oct 2016 , Dec 2016,Premiered: Fall 2016,unkown,unkown,unkown,unkown
31,Sen to Chihiro no Kamikakushi,8.79, (1 eps),https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,"1,516,089 ",Movie,Jul 2001 , Jul 2001,,unkown,unkown,unkown,unkown
32,Monogatari Series: Second Season,8.78, (26 eps),https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,"584,513 ",TV,Jul 2013 , Dec 2013,Premiered: Summer 2013,unkown,unkown,unkown,unkown
33,Odd Taxi,8.77, (13 eps),https://myanimelist.net/anime/46102/Odd_Taxi,"219,461 ",TV,Apr 2021 , Jun 2021,Premiered: Spring 2021,unkown,unkown,unkown,unkown
34,Cowboy Bebop,8.77, (26 eps),https://myanimelist.net/anime/1/Cowboy_Bebop,"1,516,995 ",TV,Apr 1998 , Apr 1999,Premiered: Spring 1998,unkown,unkown,unkown,unkown
35,Kingdom 3rd Season,8.77, (26 eps),https://myanimelist.net/anime/40682/Kingdom_3rd_Season,"59,529 ",TV,Apr 2020 , Oct 2021,Premiered: Spring 2020,unkown,unkown,unkown,unkown
36,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.76, (12 eps),https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen,"161,789 ",TV,Jan 2017 , Mar 2017,Premiered: Winter 2017,unkown,unkown,unkown,unkown
37,Mushishi Zoku Shou 2nd Season,8.74, (10 eps),https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season,"226,967 ",TV,Oct 2014 , Dec 2014,Premiered: Fall 2014,unkown,unkown,unkown,unkown
38,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.74, (1 eps),https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song,"241,550 ",Movie,Aug 2020 , Aug 2020,,unkown,unkown,unkown,unkown
39,Hajime no Ippo,8.74, (75 eps),https://myanimelist.net/anime/263/Hajime_no_Ippo,"451,874 ",TV,Oct 2000 , Mar 2002,Premiered: Fall 2000,unkown,unkown,unkown,unkown
40,Vinland Saga,8.73, (24 eps),https://myanimelist.net/anime/37521/Vinland_Saga,"987,629 ",TV,Jul 2019 , Dec 2019,Premiered: Summer 2019,unkown,unkown,unkown,unkown
41,Mo Dao Zu Shi: Wanjie Pian,8.72,,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian,"46,330 ",,Aug 2021 , Oct 2021,,unkown,unkown,unkown,unkown
42,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.72, (4 eps),https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,"248,369 ",OVA,Feb 1999 , Sep 1999,,unkown,unkown,unkown,unkown
43,Mushishi Zoku Shou,8.71, (10 eps),https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou,"258,406 ",TV,Apr 2014 , Jun 2014,Premiered: Spring 2014,unkown,unkown,unkown,unkown
44,Code Geass: Hangyaku no Lelouch,8.71, (25 eps),https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch,"1,885,259 ",TV,Oct 2006 , Jul 2007,Premiered: Fall 2006,unkown,unkown,unkown,unkown
45,Jujutsu Kaisen (TV),8.71, (24 eps),https://myanimelist.net/anime/40748/Jujutsu_Kaisen_TV,"1,615,015 ",TV,Oct 2020 , Mar 2021,Premiered: Fall 2020,unkown,unkown,unkown,unkown
46,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.7, (1 eps),https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen,"949,304 ",Movie,Oct 2020 , Oct 2020,,unkown,unkown,unkown,unkown
47,Ashita no Joe 2,8.69, (47 eps),https://myanimelist.net/anime/2921/Ashita_no_Joe_2,"38,135 ",TV,Oct 1980 , Aug 1981,Premiered: Fall 1980,unkown,unkown,unkown,unkown
48,Great Teacher Onizuka,8.69, (43 eps),https://myanimelist.net/anime/245/Great_Teacher_Onizuka,"686,373 ",TV,Jun 1999 , Sep 2000,Premiered: Summer 1999,unkown,unkown,unkown,unkown
49,Made in Abyss,8.69, (13 eps),https://myanimelist.net/anime/34599/Made_in_Abyss,"1,062,764 ",TV,Jul 2017 , Sep 2017,Premiered: Summer 2017,unkown,unkown,unkown,unkown
50,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.69, (1 eps),https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei,"295,044 ",Movie,Jan 2020 , Jan 2020,,unkown,unkown,unkown,unkown
51,Mononoke Hime,8.69, (1 eps),https://myanimelist.net/anime/164/Mononoke_Hime,"1,035,814 ",Movie,Jul 1997 , Jul 1997,,unkown,unkown,unkown,unkown
52,Mushishi,8.68, (26 eps),https://myanimelist.net/anime/457/Mushishi,"707,665 ",TV,Oct 2005 , Jun 2006,Premiered: Fall 2005,unkown,unkown,unkown,unkown
53,Shigatsu wa Kimi no Uso,8.68, (22 eps),https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso,"1,817,859 ",TV,Oct 2014 , Mar 2015,Premiered: Fall 2014,unkown,unkown,unkown,unkown
54,Evangelion: 3.0+1.0 Thrice Upon a Time,8.67, (1 eps),https://myanimelist.net/anime/3786/Evangelion__30_10_Thrice_Upon_a_Time,"256,026 ",Movie,Mar 2021 , Mar 2021,,unkown,unkown,unkown,unkown
55,Haikyuu!! Second Season,8.66, (25 eps),https://myanimelist.net/anime/28891/Haikyuu_Second_Season,"1,158,707 ",TV,Oct 2015 , Mar 2016,Premiered: Fall 2015,unkown,unkown,unkown,unkown
56,Hajime no Ippo: New Challenger,8.66, (26 eps),https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger,"230,130 ",TV,Jan 2009 , Jul 2009,Premiered: Winter 2009,unkown,unkown,unkown,unkown
57,Howl no Ugoku Shiro,8.66, (1 eps),https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro,"1,051,265 ",Movie,Nov 2004 , Nov 2004,,unkown,unkown,unkown,unkown
58,JoJo no Kimyou na Bouken Part 6: Stone Ocean,8.66,,https://myanimelist.net/anime/48661/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean,"255,380 ",,Dec 2021 ,,,unkown,unkown,unkown,unkown
59,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,8.66, (12 eps),https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,"964,915 ",TV,Apr 2020 , Jun 2020,Premiered: Spring 2020,unkown,unkown,unkown,unkown
60,Natsume Yuujinchou Shi,8.66, (13 eps),https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi,"214,818 ",TV,Jan 2012 , Mar 2012,Premiered: Winter 2012,unkown,unkown,unkown,unkown
61,Violet Evergarden,8.66, (13 eps),https://myanimelist.net/anime/33352/Violet_Evergarden,"1,394,488 ",TV,Jan 2018 , Apr 2018,Premiered: Winter 2018,unkown,unkown,unkown,unkown
62,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.64, (1 eps),https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai,"532,904 ",Movie,Jun 2019 , Jun 2019,,unkown,unkown,unkown,unkown
63,Tengen Toppa Gurren Lagann,8.64, (27 eps),https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann,"1,383,363 ",TV,Apr 2007 , Sep 2007,Premiered: Spring 2007,unkown,unkown,unkown,unkown
64,Natsume Yuujinchou Roku,8.63, (11 eps),https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku,"156,803 ",TV,Apr 2017 , Jun 2017,Premiered: Spring 2017,unkown,unkown,unkown,unkown
65,Suzumiya Haruhi no Shoushitsu,8.63, (1 eps),https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu,"540,702 ",Movie,Feb 2010 , Feb 2010,,unkown,unkown,unkown,unkown
66,Death Note,8.63, (37 eps),https://myanimelist.net/anime/1535/Death_Note,"3,208,380 ",TV,Oct 2006 , Jun 2007,Premiered: Fall 2006,unkown,unkown,unkown,unkown
67,One Piece,8.62, (? eps),https://myanimelist.net/anime/21/One_Piece,"1,739,312 ",TV,Oct 1999 ,,Premiered: Fall 1999,unkown,unkown,unkown,unkown
