Rank,Title,Rating,Episodes,URL,Members_Votes,Type,Start Date,Finish Date,Premiered,R-Rating,Generes,Source,Studio
1703,Neo-Aspect,7.47,,https://myanimelist.net/anime/37954/Neo-Aspect,"2,377 ",,May 2018 , May 2018,,unkown,unkown,unkown,unkown
1704,Oushitsu Kyoushi Heine,7.47, (12 eps),https://myanimelist.net/anime/34262/Oushitsu_Kyoushi_Heine,"121,720 ",TV,Apr 2017 , Jun 2017,Premiered: Spring 2017,unkown,unkown,unkown,unkown
1705,Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow - Manner Movie,7.47, (1 eps),https://myanimelist.net/anime/39921/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_-_Memory_Snow_-_Manner_Movie,"39,857 ",Movie,Oct 2018 , Oct 2018,,unkown,unkown,unkown,unkown
1706,Saki,7.47, (25 eps),https://myanimelist.net/anime/5671/Saki,"85,210 ",TV,Apr 2009 , Sep 2009,Premiered: Spring 2009,unkown,unkown,unkown,unkown
1707,Shigofumi,7.47, (12 eps),https://myanimelist.net/anime/3420/Shigofumi,"83,602 ",TV,Jan 2008 , Mar 2008,Premiered: Winter 2008,unkown,unkown,unkown,unkown
1708,Sugar Sugar Rune,7.47, (51 eps),https://myanimelist.net/anime/1642/Sugar_Sugar_Rune,"34,829 ",TV,Jul 2005 , Jun 2006,Premiered: Summer 2005,unkown,unkown,unkown,unkown
1709,Suisei no Gargantia,7.47, (13 eps),https://myanimelist.net/anime/16524/Suisei_no_Gargantia,"304,372 ",TV,Apr 2013 , Jun 2013,Premiered: Spring 2013,unkown,unkown,unkown,unkown
1710,Suzumiya Haruhi-chan no Yuuutsu,7.47,,https://myanimelist.net/anime/5118/Suzumiya_Haruhi-chan_no_Yuuutsu,"94,163 ",,Feb 2009 , May 2009,,unkown,unkown,unkown,unkown
1711,Tennis no Ouji-sama: Atobe kara no Okurimono - Kimi ni Sasageru Tennis Prince Matsuri,7.47, (1 eps),https://myanimelist.net/anime/814/Tennis_no_Ouji-sama__Atobe_kara_no_Okurimono_-_Kimi_ni_Sasageru_Tennis_Prince_Matsuri,"14,153 ",Movie,Jan 2005 , Jan 2005,,unkown,unkown,unkown,unkown
1712,The iDOLM@STER: 765 Pro to Iu Monogatari,7.47,,https://myanimelist.net/anime/11889/The_iDOLMSTER__765_Pro_to_Iu_Monogatari,"21,143 ",,Jun 2012 , Jun 2012,,unkown,unkown,unkown,unkown
1713,To LOVE-Ru Darkness 2nd,7.47, (12 eps),https://myanimelist.net/anime/28979/To_LOVE-Ru_Darkness_2nd,"224,261 ",TV,Jul 2015 , Oct 2015,Premiered: Summer 2015,unkown,unkown,unkown,unkown
1714,Tokyo Ravens,7.47, (24 eps),https://myanimelist.net/anime/16011/Tokyo_Ravens,"430,027 ",TV,Oct 2013 , Mar 2014,Premiered: Fall 2013,unkown,unkown,unkown,unkown
1715,Tsugu Tsugumomo,7.47, (12 eps),https://myanimelist.net/anime/39469/Tsugu_Tsugumomo,"79,222 ",TV,Apr 2020 , Jun 2020,Premiered: Spring 2020,unkown,unkown,unkown,unkown
1716,Yu☆Gi☆Oh! The Dark Side of Dimensions,7.47, (1 eps),https://myanimelist.net/anime/28771/Yu☆Gi☆Oh_The_Dark_Side_of_Dimensions,"63,131 ",Movie,Apr 2016 , Apr 2016,,unkown,unkown,unkown,unkown
1717,Zero no Tsukaima F,7.47, (12 eps),https://myanimelist.net/anime/11319/Zero_no_Tsukaima_F,"369,922 ",TV,Jan 2012 , Mar 2012,Premiered: Winter 2012,unkown,unkown,unkown,unkown
1718,Acchi Kocchi: Place=Princess,7.47,,https://myanimelist.net/anime/16273/Acchi_Kocchi__Place_Princess,"54,881 ",,Nov 2012 , Nov 2012,,unkown,unkown,unkown,unkown
1719,Ajin Part 1: Shoudou,7.47, (1 eps),https://myanimelist.net/anime/30868/Ajin_Part_1__Shoudou,"41,403 ",Movie,Nov 2015 , Nov 2015,,unkown,unkown,unkown,unkown
1720,Angel Beats!: Another Epilogue,7.47,,https://myanimelist.net/anime/10067/Angel_Beats__Another_Epilogue,"225,020 ",,Dec 2010 , Dec 2010,,unkown,unkown,unkown,unkown
1721,Be-Bop Highschool,7.47, (7 eps),https://myanimelist.net/anime/9645/Be-Bop_Highschool,"6,110 ",OVA,Jan 1990 , Oct 1998,,unkown,unkown,unkown,unkown
1722,Bishoujo Senshi Sailor Moon Eternal Movie 1,7.47, (1 eps),https://myanimelist.net/anime/40024/Bishoujo_Senshi_Sailor_Moon_Eternal_Movie_1,"19,845 ",Movie,Jan 2021 , Jan 2021,,unkown,unkown,unkown,unkown
1723,Bokutachi no Remake,7.47, (12 eps),https://myanimelist.net/anime/40904/Bokutachi_no_Remake,"232,809 ",TV,Jul 2021 , Sep 2021,Premiered: Summer 2021,unkown,unkown,unkown,unkown
1724,Carnival Phantasm EX Season,7.47, (1 eps),https://myanimelist.net/anime/12187/Carnival_Phantasm_EX_Season,"43,393 ",OVA,Nov 2011 , Nov 2011,,unkown,unkown,unkown,unkown
1725,Chouyaku Hyakuninisshu: Uta Koi.,7.47, (13 eps),https://myanimelist.net/anime/13349/Chouyaku_Hyakuninisshu__Uta_Koi,"26,549 ",TV,Jul 2012 , Sep 2012,Premiered: Summer 2012,unkown,unkown,unkown,unkown
1726,Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,7.47,,https://myanimelist.net/anime/34103/Danganronpa_3__The_End_of_Kibougamine_Gakuen_-_Kibou-hen,"156,077 ",,Sep 2016 , Sep 2016,,unkown,unkown,unkown,unkown
1727,Digimon Adventure tri. 2: Ketsui,7.47, (1 eps),https://myanimelist.net/anime/32108/Digimon_Adventure_tri_2__Ketsui,"73,378 ",Movie,Mar 2016 , Mar 2016,,unkown,unkown,unkown,unkown
1728,Gabriel DropOut,7.47, (12 eps),https://myanimelist.net/anime/33731/Gabriel_DropOut,"396,601 ",TV,Jan 2017 , Mar 2017,Premiered: Winter 2017,unkown,unkown,unkown,unkown
1729,Haiyore! Nyaruko-san F,7.47, (1 eps),https://myanimelist.net/anime/26023/Haiyore_Nyaruko-san_F,"51,589 ",OVA,Jun 2015 , Jun 2015,,unkown,unkown,unkown,unkown
1730,Hetalia: The Beautiful World,7.47,,https://myanimelist.net/anime/15195/Hetalia__The_Beautiful_World,"66,185 ",,Jan 2013 , Jun 2013,,unkown,unkown,unkown,unkown
1731,Hibike! Euphonium: Kakedasu Monaka,7.47,,https://myanimelist.net/anime/31665/Hibike_Euphonium__Kakedasu_Monaka,"47,664 ",,Dec 2015 , Dec 2015,,unkown,unkown,unkown,unkown
1732,Hokuto no Ken Zero: Kenshirou Den,7.47, (1 eps),https://myanimelist.net/anime/5291/Hokuto_no_Ken_Zero__Kenshirou_Den,"9,754 ",Movie,Oct 2008 , Oct 2008,,unkown,unkown,unkown,unkown
1733,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen OVA,7.47, (1 eps),https://myanimelist.net/anime/40841/Honzuki_no_Gekokujou__Shisho_ni_Naru_Tame_ni_wa_Shudan_wo_Erandeiraremasen_OVA,"28,074 ",OVA,Mar 2020 , Mar 2020,,unkown,unkown,unkown,unkown
1734,Kamichu! Specials,7.47,,https://myanimelist.net/anime/3449/Kamichu_Specials,"10,168 ",,Nov 2005 , Mar 2006,,unkown,unkown,unkown,unkown
1735,Kara no Kyoukai Movie: Mirai Fukuin - Extra Chorus,7.47,,https://myanimelist.net/anime/22763/Kara_no_Kyoukai_Movie__Mirai_Fukuin_-_Extra_Chorus,"40,731 ",,Sep 2013 , Sep 2013,,unkown,unkown,unkown,unkown
1736,Liang Bu Yi,7.47,,https://myanimelist.net/anime/41221/Liang_Bu_Yi,"3,714 ",,Apr 2021 , Nov 2021,,unkown,unkown,unkown,unkown
1737,Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note - Tokubetsu-hen,7.47,,https://myanimelist.net/anime/49361/Lord_El-Melloi_II_Sei_no_Jikenbo__Rail_Zeppelin_Grace_Note_-_Tokubetsu-hen,"7,073 ",,Dec 2021 , Dec 2021,,unkown,unkown,unkown,unkown
1738,Marmalade Boy,7.47, (76 eps),https://myanimelist.net/anime/334/Marmalade_Boy,"47,813 ",TV,Mar 1994 , Sep 1995,Premiered: Spring 1994,unkown,unkown,unkown,unkown
1739,Aishiteruze Baby★★,7.46, (26 eps),https://myanimelist.net/anime/102/Aishiteruze_Baby★★,"95,076 ",TV,Apr 2004 , Oct 2004,Premiered: Spring 2004,unkown,unkown,unkown,unkown
1740,Bai She: Yuan Qi,7.46, (1 eps),https://myanimelist.net/anime/38740/Bai_She__Yuan_Qi,"5,802 ",Movie,Jan 2019 , Jan 2019,,unkown,unkown,unkown,unkown
1741,Boku no Hero Academia 5th Season,7.46, (25 eps),https://myanimelist.net/anime/41587/Boku_no_Hero_Academia_5th_Season,"804,023 ",TV,Mar 2021 , Sep 2021,Premiered: Spring 2021,unkown,unkown,unkown,unkown
1742,Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars,7.46,,https://myanimelist.net/anime/27601/Chuunibyou_demo_Koi_ga_Shitai_Ren__The_Rikka_Wars,"112,270 ",,Sep 2014 , Sep 2014,,unkown,unkown,unkown,unkown
1743,Days: Touin Gakuen-sen!,7.46, (3 eps),https://myanimelist.net/anime/34513/Days__Touin_Gakuen-sen,"21,120 ",OVA,Mar 2018 , Jul 2018,,unkown,unkown,unkown,unkown
1744,Doraemon Movie 40: Nobita no Shin Kyouryuu,7.46, (1 eps),https://myanimelist.net/anime/40044/Doraemon_Movie_40__Nobita_no_Shin_Kyouryuu,"2,660 ",Movie,Aug 2020 , Aug 2020,,unkown,unkown,unkown,unkown
1745,Doupo Cangqiong Specials,7.46,,https://myanimelist.net/anime/36561/Doupo_Cangqiong_Specials,"2,970 ",,Sep 2017 , Oct 2017,,unkown,unkown,unkown,unkown
1746,Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,7.46,,https://myanimelist.net/anime/31389/Fate_stay_night__Unlimited_Blade_Works_2nd_Season_-_Sunny_Day,"93,117 ",,Oct 2015 , Oct 2015,,unkown,unkown,unkown,unkown
1747,Grappler Baki: Saidai Tournament-hen,7.46, (24 eps),https://myanimelist.net/anime/551/Grappler_Baki__Saidai_Tournament-hen,"58,344 ",TV,Jul 2001 , Dec 2001,Premiered: Summer 2001,unkown,unkown,unkown,unkown
1748,Hime-chan no Ribbon,7.46, (61 eps),https://myanimelist.net/anime/2037/Hime-chan_no_Ribbon,"7,760 ",TV,Oct 1992 , Dec 1993,Premiered: Fall 1992,unkown,unkown,unkown,unkown
1749,Hokuto no Ken: Raoh Gaiden Junai-hen,7.46, (1 eps),https://myanimelist.net/anime/1773/Hokuto_no_Ken__Raoh_Gaiden_Junai-hen,"10,258 ",Movie,Mar 2006 , Mar 2006,,unkown,unkown,unkown,unkown
1750,Huyao Xiao Hongniang: Beishan Yaodi,7.46,,https://myanimelist.net/anime/36823/Huyao_Xiao_Hongniang__Beishan_Yaodi,"7,551 ",,Nov 2016 , Jan 2017,,unkown,unkown,unkown,unkown
1751,Idoly Pride,7.46, (12 eps),https://myanimelist.net/anime/40842/Idoly_Pride,"47,566 ",TV,Jan 2021 , Mar 2021,Premiered: Winter 2021,unkown,unkown,unkown,unkown
1752,Itazura na Kiss,7.46, (25 eps),https://myanimelist.net/anime/3731/Itazura_na_Kiss,"253,633 ",TV,Apr 2008 , Sep 2008,Premiered: Spring 2008,unkown,unkown,unkown,unkown
1753,Itte.,7.46,,https://myanimelist.net/anime/39452/Itte,"2,160 ",,Jun 2017 , Jun 2017,,unkown,unkown,unkown,unkown
1754,K,7.46, (13 eps),https://myanimelist.net/anime/14467/K,"676,645 ",TV,Oct 2012 , Dec 2012,Premiered: Fall 2012,unkown,unkown,unkown,unkown
1755,Kamikaze Kaitou Jeanne,7.46, (44 eps),https://myanimelist.net/anime/142/Kamikaze_Kaitou_Jeanne,"50,037 ",TV,Feb 1999 , Jan 2000,Premiered: Winter 1999,unkown,unkown,unkown,unkown
1756,Kishuku Gakkou no Juliet,7.46, (12 eps),https://myanimelist.net/anime/37475/Kishuku_Gakkou_no_Juliet,"289,062 ",TV,Oct 2018 , Dec 2018,Premiered: Fall 2018,unkown,unkown,unkown,unkown
1757,Koi ni Naritai Aquarium,7.46,,https://myanimelist.net/anime/32953/Koi_ni_Naritai_Aquarium,"7,930 ",,Apr 2016 , Apr 2016,,unkown,unkown,unkown,unkown
1758,"Kore wa Zombie Desu ka? of the Dead: Hai, Minotake ni Attemasu",7.46, (1 eps),https://myanimelist.net/anime/15437/Kore_wa_Zombie_Desu_ka_of_the_Dead__Hai_Minotake_ni_Attemasu,"98,238 ",OVA,Oct 2012 , Oct 2012,,unkown,unkown,unkown,unkown
1759,Koukaku Kidoutai: Shin Movie,7.46, (1 eps),https://myanimelist.net/anime/27411/Koukaku_Kidoutai__Shin_Movie,"42,812 ",Movie,Jun 2015 , Jun 2015,,unkown,unkown,unkown,unkown
1760,Magic Knight Rayearth,7.46, (20 eps),https://myanimelist.net/anime/435/Magic_Knight_Rayearth,"58,393 ",TV,Oct 1994 , Mar 1995,Premiered: Fall 1994,unkown,unkown,unkown,unkown
1761,Mahouka Koukou no Rettousei,7.46, (26 eps),https://myanimelist.net/anime/20785/Mahouka_Koukou_no_Rettousei,"897,406 ",TV,Apr 2014 , Sep 2014,Premiered: Spring 2014,unkown,unkown,unkown,unkown
1762,Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,7.46, (1 eps),https://myanimelist.net/anime/32900/Mahouka_Koukou_no_Rettousei_Movie__Hoshi_wo_Yobu_Shoujo,"158,847 ",Movie,Jun 2017 , Jun 2017,,unkown,unkown,unkown,unkown
1763,Mardock Scramble: The First Compression,7.46, (1 eps),https://myanimelist.net/anime/8100/Mardock_Scramble__The_First_Compression,"66,911 ",Movie,Oct 2010 , Oct 2010,,unkown,unkown,unkown,unkown
1764,Miira no Kaikata,7.46, (12 eps),https://myanimelist.net/anime/35828/Miira_no_Kaikata,"110,736 ",TV,Jan 2018 , Mar 2018,Premiered: Winter 2018,unkown,unkown,unkown,unkown
1765,"Momoko, Kaeru no Uta ga Kikoeru yo.",7.46, (1 eps),https://myanimelist.net/anime/7877/Momoko_Kaeru_no_Uta_ga_Kikoeru_yo,"3,529 ",Movie,Jul 2003 , Jul 2003,,unkown,unkown,unkown,unkown
1766,Mugen no Ryvius,7.46, (26 eps),https://myanimelist.net/anime/593/Mugen_no_Ryvius,"39,407 ",TV,Oct 1999 , Mar 2000,Premiered: Fall 1999,unkown,unkown,unkown,unkown
1767,Nodame Cantabile OVA,7.46, (1 eps),https://myanimelist.net/anime/6187/Nodame_Cantabile_OVA,"26,058 ",OVA,Aug 2009 , Aug 2009,,unkown,unkown,unkown,unkown
1768,On Your Mark,7.46,,https://myanimelist.net/anime/1047/On_Your_Mark,"28,967 ",,Jun 1995 , Jun 1995,,unkown,unkown,unkown,unkown
1769,Pokemon Generations,7.46,,https://myanimelist.net/anime/34514/Pokemon_Generations,"47,194 ",,Dec 2016 , Feb 2017,,unkown,unkown,unkown,unkown
1770,Salaryman Kintarou,7.46, (20 eps),https://myanimelist.net/anime/1608/Salaryman_Kintarou,"8,537 ",TV,Feb 2001 , Mar 2001,Premiered: Winter 2001,unkown,unkown,unkown,unkown
1771,Samurai 7,7.46, (26 eps),https://myanimelist.net/anime/166/Samurai_7,"119,131 ",TV,Jun 2004 , Dec 2004,Premiered: Summer 2004,unkown,unkown,unkown,unkown
1772,Shokugeki no Souma: San no Sara - Kyokuseiryou no Erina,7.46, (1 eps),https://myanimelist.net/anime/36962/Shokugeki_no_Souma__San_no_Sara_-_Kyokuseiryou_no_Erina,"68,204 ",OVA,May 2018 , May 2018,,unkown,unkown,unkown,unkown
1773,Shonan Junai Gumi!,7.46, (5 eps),https://myanimelist.net/anime/1913/Shonan_Junai_Gumi,"39,071 ",OVA,Jan 1994 , Jan 1997,,unkown,unkown,unkown,unkown
1774,Taiho Shichau zo,7.46, (4 eps),https://myanimelist.net/anime/1577/Taiho_Shichau_zo,"20,271 ",OVA,Sep 1994 , Nov 1995,,unkown,unkown,unkown,unkown
1775,Tegamibachi: Hikari to Ao no Gensou Yawa,7.46,,https://myanimelist.net/anime/5538/Tegamibachi__Hikari_to_Ao_no_Gensou_Yawa,"13,718 ",,Nov 2008 , Nov 2008,,unkown,unkown,unkown,unkown
1776,Tennis no Ouji-sama Movie 2: Eikokushiki Teikyuu Shiro Kessen!,7.46, (1 eps),https://myanimelist.net/anime/10731/Tennis_no_Ouji-sama_Movie_2__Eikokushiki_Teikyuu_Shiro_Kessen,"10,004 ",Movie,Sep 2011 , Sep 2011,,unkown,unkown,unkown,unkown
1777,Tenshi na Konamaiki,7.46, (50 eps),https://myanimelist.net/anime/200/Tenshi_na_Konamaiki,"24,598 ",TV,Apr 2002 , Mar 2003,Premiered: Spring 2002,unkown,unkown,unkown,unkown
1778,To LOVE-Ru Darkness,7.46, (12 eps),https://myanimelist.net/anime/13663/To_LOVE-Ru_Darkness,"324,195 ",TV,Oct 2012 , Dec 2012,Premiered: Fall 2012,unkown,unkown,unkown,unkown
1779,Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato Desu kara,7.46, (1 eps),https://myanimelist.net/anime/9047/Toaru_Kagaku_no_Railgun__Misaka-san_wa_Ima_Chuumoku_no_Mato_Desu_kara,"61,763 ",OVA,Sep 2010 , Sep 2010,,unkown,unkown,unkown,unkown
1780,Toaru Majutsu no Index Movie: Endymion no Kiseki,7.46, (1 eps),https://myanimelist.net/anime/11743/Toaru_Majutsu_no_Index_Movie__Endymion_no_Kiseki,"116,394 ",Movie,Feb 2013 , Feb 2013,,unkown,unkown,unkown,unkown
1781,Tonari no Seki-kun Specials,7.46,,https://myanimelist.net/anime/24365/Tonari_no_Seki-kun_Specials,"29,066 ",,May 2014 , May 2014,,unkown,unkown,unkown,unkown
1782,Toradora! Recap,7.46, (1 eps),https://myanimelist.net/anime/23701/Toradora_Recap,"58,256 ",OVA,Apr 2009 , Apr 2009,,unkown,unkown,unkown,unkown
1783,Toshokan Sensou,7.46, (12 eps),https://myanimelist.net/anime/3613/Toshokan_Sensou,"66,545 ",TV,Apr 2008 , Jun 2008,Premiered: Spring 2008,unkown,unkown,unkown,unkown
1784,Yowamushi Pedal: Spare Bike,7.46, (1 eps),https://myanimelist.net/anime/33302/Yowamushi_Pedal__Spare_Bike,"10,601 ",Movie,Sep 2016 , Sep 2016,,unkown,unkown,unkown,unkown
1785,Yu☆Gi☆Oh! Duel Monsters,7.46, (224 eps),https://myanimelist.net/anime/481/Yu☆Gi☆Oh_Duel_Monsters,"338,302 ",TV,Apr 2000 , Sep 2004,Premiered: Spring 2000,unkown,unkown,unkown,unkown
1786,Naruto: Shippuuden Movie 5 - Blood Prison,7.45, (1 eps),https://myanimelist.net/anime/10589/Naruto__Shippuuden_Movie_5_-_Blood_Prison,"197,264 ",Movie,Jul 2011 , Jul 2011,,unkown,unkown,unkown,unkown
1787,Neon Genesis Evangelion: Death & Rebirth,7.45, (1 eps),https://myanimelist.net/anime/31/Neon_Genesis_Evangelion__Death___Rebirth,"217,864 ",Movie,Mar 1997 , Mar 1997,,unkown,unkown,unkown,unkown
1788,Otome Youkai Zakuro,7.45, (13 eps),https://myanimelist.net/anime/8476/Otome_Youkai_Zakuro,"110,636 ",TV,Oct 2010 , Dec 2010,Premiered: Fall 2010,unkown,unkown,unkown,unkown
1789,Sekaiichi Hatsukoi: Propose-hen,7.45, (1 eps),https://myanimelist.net/anime/40314/Sekaiichi_Hatsukoi__Propose-hen,"20,449 ",Movie,Feb 2020 , Feb 2020,,unkown,unkown,unkown,unkown
1790,Senki Zesshou Symphogear G,7.45, (13 eps),https://myanimelist.net/anime/15793/Senki_Zesshou_Symphogear_G,"53,122 ",TV,Jul 2013 , Sep 2013,Premiered: Summer 2013,unkown,unkown,unkown,unkown
1791,Senyuu. 2,7.45, (13 eps),https://myanimelist.net/anime/18523/Senyuu_2,"53,511 ",TV,Jul 2013 , Sep 2013,Premiered: Summer 2013,unkown,unkown,unkown,unkown
1792,SSSS.Dynazenon,7.45, (12 eps),https://myanimelist.net/anime/40870/SSSSDynazenon,"97,589 ",TV,Apr 2021 , Jun 2021,Premiered: Spring 2021,unkown,unkown,unkown,unkown
1793,Sword Art Online: Alicization - War of Underworld 2nd Season,7.45, (11 eps),https://myanimelist.net/anime/40540/Sword_Art_Online__Alicization_-_War_of_Underworld_2nd_Season,"451,734 ",TV,Jul 2020 , Sep 2020,Premiered: Summer 2020,unkown,unkown,unkown,unkown
1794,Tales of Symphonia The Animation: Sekai Tougou-hen,7.45, (3 eps),https://myanimelist.net/anime/8995/Tales_of_Symphonia_The_Animation__Sekai_Tougou-hen,"22,527 ",OVA,Nov 2011 , Oct 2012,,unkown,unkown,unkown,unkown
1795,Towa no Quon 3: Mugen no Renza,7.45, (1 eps),https://myanimelist.net/anime/10714/Towa_no_Quon_3__Mugen_no_Renza,"33,857 ",Movie,Aug 2011 , Aug 2011,,unkown,unkown,unkown,unkown
1796,Uchuu no Kishi Tekkaman Blade,7.45, (49 eps),https://myanimelist.net/anime/1459/Uchuu_no_Kishi_Tekkaman_Blade,"14,340 ",TV,Feb 1992 , Feb 1993,Premiered: Winter 1992,unkown,unkown,unkown,unkown
1797,Urusei Yatsura Movie 5: Kanketsu-hen,7.45, (1 eps),https://myanimelist.net/anime/1924/Urusei_Yatsura_Movie_5__Kanketsu-hen,"5,893 ",Movie,Feb 1988 , Feb 1988,,unkown,unkown,unkown,unkown
1798,Wangan Midnight,7.45, (26 eps),https://myanimelist.net/anime/2608/Wangan_Midnight,"32,250 ",TV,Jun 2007 , Sep 2008,Premiered: Summer 2007,unkown,unkown,unkown,unkown
1799,Wu Geng Ji Zhi Tianqi,7.45,,https://myanimelist.net/anime/36910/Wu_Geng_Ji_Zhi_Tianqi,"2,615 ",,Dec 2017 , Oct 2018,,unkown,unkown,unkown,unkown
1800,Yeon-ae Halujeon 2,7.45,,https://myanimelist.net/anime/42629/Yeon-ae_Halujeon_2,"6,460 ",,Mar 2018 , Jul 2018,,unkown,unkown,unkown,unkown
1801,Ano Natsu de Matteru,7.45, (12 eps),https://myanimelist.net/anime/11433/Ano_Natsu_de_Matteru,"342,766 ",TV,Jan 2012 , Mar 2012,Premiered: Winter 2012,unkown,unkown,unkown,unkown
1802,Chio-chan no Tsuugakuro,7.45, (12 eps),https://myanimelist.net/anime/35821/Chio-chan_no_Tsuugakuro,"101,464 ",TV,Jul 2018 , Sep 2018,Premiered: Summer 2018,unkown,unkown,unkown,unkown
1803,CLAMP in Wonderland 2,7.45,,https://myanimelist.net/anime/2768/CLAMP_in_Wonderland_2,"18,935 ",,Oct 2007 , Oct 2007,,unkown,unkown,unkown,unkown
1804,Darker than Black: Ryuusei no Gemini,7.45, (12 eps),https://myanimelist.net/anime/6573/Darker_than_Black__Ryuusei_no_Gemini,"378,773 ",TV,Oct 2009 , Dec 2009,Premiered: Fall 2009,unkown,unkown,unkown,unkown
1805,Detective Conan Movie 11: Jolly Roger in the Deep Azure,7.45, (1 eps),https://myanimelist.net/anime/2171/Detective_Conan_Movie_11__Jolly_Roger_in_the_Deep_Azure,"38,139 ",Movie,Apr 2007 , Apr 2007,,unkown,unkown,unkown,unkown
1806,Digimon Adventure tri. 1: Saikai,7.45, (1 eps),https://myanimelist.net/anime/25687/Digimon_Adventure_tri_1__Saikai,"105,330 ",Movie,Nov 2015 , Nov 2015,,unkown,unkown,unkown,unkown
1807,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,7.45, (12 eps),https://myanimelist.net/anime/40454/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_III,"433,719 ",TV,Oct 2020 , Dec 2020,Premiered: Fall 2020,unkown,unkown,unkown,unkown
1808,Genshiken Nidaime,7.45, (13 eps),https://myanimelist.net/anime/18465/Genshiken_Nidaime,"47,689 ",TV,Jul 2013 , Sep 2013,Premiered: Summer 2013,unkown,unkown,unkown,unkown
1809,Gintama: Monster Strike-hen,7.45,,https://myanimelist.net/anime/40323/Gintama__Monster_Strike-hen,"12,154 ",,Aug 2019 , Sep 2019,,unkown,unkown,unkown,unkown
1810,Gokudou-kun Manyuuki,7.45, (26 eps),https://myanimelist.net/anime/2409/Gokudou-kun_Manyuuki,"13,652 ",TV,Apr 1999 , Sep 1999,Premiered: Spring 1999,unkown,unkown,unkown,unkown
1811,Grappler Baki (TV),7.45, (24 eps),https://myanimelist.net/anime/287/Grappler_Baki_TV,"96,065 ",TV,Jan 2001 , Jun 2001,Premiered: Winter 2001,unkown,unkown,unkown,unkown
1812,Guilty Crown,7.45, (22 eps),https://myanimelist.net/anime/10793/Guilty_Crown,"1,078,680 ",TV,Oct 2011 , Mar 2012,Premiered: Fall 2011,unkown,unkown,unkown,unkown
1813,Hakuouki Reimeiroku,7.45, (12 eps),https://myanimelist.net/anime/13115/Hakuouki_Reimeiroku,"52,870 ",TV,Jul 2012 , Sep 2012,Premiered: Summer 2012,unkown,unkown,unkown,unkown
1814,Hidamari Sketch,7.45, (12 eps),https://myanimelist.net/anime/1852/Hidamari_Sketch,"70,349 ",TV,Jan 2007 , Mar 2007,Premiered: Winter 2007,unkown,unkown,unkown,unkown
1815,Hoozuki no Reitetsu 2nd Season OVA,7.45, (3 eps),https://myanimelist.net/anime/39538/Hoozuki_no_Reitetsu_2nd_Season_OVA,"4,459 ",OVA,Sep 2019 , Sep 2020,,unkown,unkown,unkown,unkown
1816,Junjou Romantica Special,7.45,,https://myanimelist.net/anime/6553/Junjou_Romantica_Special,"32,554 ",,2008 , 2008,,unkown,unkown,unkown,unkown
1817,Kiniro no Corda: Primo Passo - Hitonatsu no Encore,7.45,,https://myanimelist.net/anime/3392/Kiniro_no_Corda__Primo_Passo_-_Hitonatsu_no_Encore,"21,904 ",,Mar 2007 , Mar 2007,,unkown,unkown,unkown,unkown
1818,Koukaku Kidoutai Arise: Ghost in the Shell - Border:1 Ghost Pain,7.45, (1 eps),https://myanimelist.net/anime/17187/Koukaku_Kidoutai_Arise__Ghost_in_the_Shell_-_Border_1_Ghost_Pain,"57,052 ",Movie,Jun 2013 , Jun 2013,,unkown,unkown,unkown,unkown
1819,"Kumo Desu ga, Nani ka?",7.45, (24 eps),https://myanimelist.net/anime/37984/Kumo_Desu_ga_Nani_ka,"299,088 ",TV,Jan 2021 , Jul 2021,Premiered: Winter 2021,unkown,unkown,unkown,unkown
1820,Mahou Shoujo Lyrical Nanoha: Reflection,7.45, (1 eps),https://myanimelist.net/anime/17947/Mahou_Shoujo_Lyrical_Nanoha__Reflection,"12,148 ",Movie,Jul 2017 , Jul 2017,,unkown,unkown,unkown,unkown
1821,Ansatsu Kyoushitsu: Deai no Jikan,7.44,,https://myanimelist.net/anime/28405/Ansatsu_Kyoushitsu__Deai_no_Jikan,"116,829 ",,Nov 2014 , Nov 2014,,unkown,unkown,unkown,unkown
1822,Bleach Movie 1: Memories of Nobody,7.44, (1 eps),https://myanimelist.net/anime/1686/Bleach_Movie_1__Memories_of_Nobody,"242,042 ",Movie,Dec 2006 , Dec 2006,,unkown,unkown,unkown,unkown
1823,Boruto: Naruto the Movie,7.44, (1 eps),https://myanimelist.net/anime/28755/Boruto__Naruto_the_Movie,"392,966 ",Movie,Aug 2015 , Aug 2015,,unkown,unkown,unkown,unkown
1824,Brave Story,7.44, (1 eps),https://myanimelist.net/anime/1681/Brave_Story,"39,517 ",Movie,Jul 2006 , Jul 2006,,unkown,unkown,unkown,unkown
