Rank,Title,Score,Episodes,Members_Votes,Type,Premiered,Rating,Source,Studio,Top
1,Fullmetal Alchemist: Brotherhood,9.15,100,2720933,2,2009,2,5,340,1
2,Gintama°,9.09,100,495687,2,2015,2,5,340,1
3,Shingeki no Kyojin Season 3 Part 2,9.09,100,1650249,2,2019,2,5,340,1
4,Steins;Gate,9.09,100,2122353,2,2011,2,5,340,1
5,Fruits Basket: The Final,9.06,100,293483,2,2021,2,5,340,1
6,Gintama',9.06,100,437491,2,2011,2,5,340,1
7,Hunter x Hunter (2011),9.05,100,2199656,2,2011,2,5,340,1
8,Ginga Eiyuu Densetsu,9.04,500,266616,1,1988,2,5,340,1
9,Gintama': Enchousen,9.04,100,265703,2,2012,2,5,340,1
10,Gintama: The Final,9.03,1,84926,0,2021,2,5,340,0
11,Gintama.,8.98,100,251616,2,2017,2,5,340,1
12,Violet Evergarden Movie,8.98,1,367577,0,2020,2,5,340,1
13,3-gatsu no Lion 2nd Season,8.97,100,330804,2,2017,2,5,340,1
14,Koe no Katachi,8.96,1,1823491,0,2016,2,5,340,1
15,Clannad: After Story,8.95,100,1037329,2,2008,2,5,340,1
16,Gintama,8.95,500,899095,2,2006,2,5,340,1
17,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.94,1,199214,0,2013,2,5,340,1
18,Code Geass: Hangyaku no Lelouch R2,8.91,100,1490446,2,2008,2,5,340,1
19,Owarimonogatari 2nd Season,8.91,100,329566,2,2017,2,5,340,1
20,Shingeki no Kyojin: The Final Season,8.88,100,1400196,2,2020,2,5,340,1
21,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.88,100,151022,2,2018,2,5,340,1
22,Kimi no Na wa.,8.88,1,2209772,0,2016,2,5,340,1
23,Ousama Ranking,8.86,100,173435,2,2021,2,5,340,1
25,Gintama.: Shirogane no Tamashii-hen,8.82,100,164368,2,2018,2,5,340,1
26,Kizumonogatari III: Reiketsu-hen,8.81,1,378878,0,2017,2,5,340,1
27,Mob Psycho 100 II,8.81,100,1134193,2,2019,2,5,340,1
28,Monster,8.81,100,780922,2,2004,2,5,340,1
29,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.8,100,431150,2,2021,2,5,340,1
30,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.8,100,964964,2,2016,2,5,340,1
31,Sen to Chihiro no Kamikakushi,8.79,1,1516089,0,2001,2,5,340,1
32,Monogatari Series: Second Season,8.78,100,584513,2,2013,2,5,340,1
33,Odd Taxi,8.77,100,219461,2,2021,2,5,340,1
34,Cowboy Bebop,8.77,100,1516995,2,1998,2,5,340,1
35,Kingdom 3rd Season,8.77,100,59529,2,2020,2,5,340,0
36,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.76,100,161789,2,2017,2,5,340,1
37,Mushishi Zoku Shou 2nd Season,8.74,100,226967,2,2014,2,5,340,1
38,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.74,1,241550,0,2020,2,5,340,1
39,Hajime no Ippo,8.74,100,451874,2,2000,2,5,340,1
40,Vinland Saga,8.73,100,987629,2,2019,2,5,340,1
42,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.72,100,248369,1,1999,2,5,340,1
43,Mushishi Zoku Shou,8.71,100,258406,2,2014,2,5,340,1
44,Code Geass: Hangyaku no Lelouch,8.71,100,1885259,2,2006,2,5,340,1
45,Jujutsu Kaisen (TV),8.71,100,1615015,2,2020,2,5,340,1
46,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.7,1,949304,0,2020,2,5,340,0
47,Ashita no Joe 2,8.69,100,38135,2,1980,2,5,340,0
48,Great Teacher Onizuka,8.69,100,686373,2,1999,2,5,340,0
49,Made in Abyss,8.69,100,1062764,2,2017,2,5,340,0
50,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.69,1,295044,0,2020,2,5,340,0
51,Mononoke Hime,8.69,1,1035814,0,1997,2,5,340,0
52,Mushishi,8.68,100,707665,2,2005,2,5,340,0
53,Shigatsu wa Kimi no Uso,8.68,100,1817859,2,2014,2,5,340,0
54,Evangelion: 3.0+1.0 Thrice Upon a Time,8.67,1,256026,0,2021,2,5,340,0
55,Haikyuu!! Second Season,8.66,100,1158707,2,2015,2,5,340,0
56,Hajime no Ippo: New Challenger,8.66,100,230130,2,2009,2,5,340,0
57,Howl no Ugoku Shiro,8.66,1,1051265,0,2004,2,5,340,0
59,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,8.66,100,964915,2,2020,2,5,340,0
60,Natsume Yuujinchou Shi,8.66,100,214818,2,2012,2,5,340,0
61,Violet Evergarden,8.66,100,1394488,2,2018,2,5,340,0
62,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.64,1,532904,0,2019,2,5,340,0
63,Tengen Toppa Gurren Lagann,8.64,100,1383363,2,2007,2,5,340,0
64,Natsume Yuujinchou Roku,8.63,100,156803,2,2017,2,5,340,0
65,Suzumiya Haruhi no Shoushitsu,8.63,1,540702,0,2010,2,5,340,0
66,Death Note,8.63,100,3208380,2,2006,2,5,340,0
67,One Piece,8.62,100,1739312,2,1999,2,5,340,0
68,Ping Pong the Animation,8.62,100,323155,2,2014,2,5,340,0
69,Shingeki no Kyojin Season 3,8.62,100,1778041,2,2018,2,5,340,0
70,Mushishi Zoku Shou: Suzu no Shizuku,8.61,1,109997,0,2015,2,5,340,0
71,Kimetsu no Yaiba: Yuukaku-hen,8.61,1,427133,2,2021,2,5,340,0
72,Kizumonogatari II: Nekketsu-hen,8.6,1,370482,0,2016,2,5,340,0
73,Ookami Kodomo no Ame to Yuki,8.6,1,703715,0,2012,2,5,340,0
74,Shouwa Genroku Rakugo Shinjuu,8.59,100,253768,2,2016,2,5,340,0
75,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.59,100,761058,2,2018,2,5,340,0
76,Fate/Zero 2nd Season,8.58,100,953405,2,2012,2,5,340,0
77,Hajime no Ippo: Rising,8.58,100,203874,2,2013,2,5,340,0
78,Kimi no Suizou wo Tabetai,8.58,1,688373,0,2018,2,5,340,0
79,Natsume Yuujinchou Go,8.58,100,156189,2,2016,2,5,340,0
80,Natsume Yuujinchou San,8.58,100,222324,2,2011,2,5,340,0
81,Yojouhan Shinwa Taikei,8.58,100,370125,2,2010,2,5,340,0
82,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57,1,187102,0,2009,2,5,340,0
83,Fruits Basket 2nd Season,8.57,100,352643,2,2020,2,5,340,0
84,Kimetsu no Yaiba,8.57,100,2183973,2,2019,2,5,340,0
85,Yakusoku no Neverland,8.56,100,1566183,2,2019,2,5,340,0
86,Zoku Natsume Yuujinchou,8.56,100,219916,2,2009,2,5,340,0
88,Bakuman. 3rd Season,8.55,100,296373,2,2012,2,5,340,0
89,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.55,1,294094,0,2019,2,5,340,0
90,Kara no Kyoukai 5: Mujun Rasen,8.55,1,210016,0,2008,2,5,340,0
91,Haikyuu!!: To the Top 2nd Season,8.54,100,586568,2,2020,2,5,340,0
92,Neon Genesis Evangelion: The End of Evangelion,8.54,1,731955,0,1997,2,5,340,0
93,Sora yori mo Tooi Basho,8.54,100,413371,2,2018,2,5,340,0
94,Yuru Camp△ Season 2,8.54,100,162990,2,2021,2,5,340,0
95,Slam Dunk,8.53,500,240016,2,1993,2,5,340,0
96,Gintama.: Porori-hen,8.53,100,161254,2,2017,2,5,340,0
97,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.53,100,205213,2,2004,2,5,340,0
98,Ansatsu Kyoushitsu 2nd Season,8.52,100,1151954,2,2016,2,5,340,0
99,Gintama Movie 1: Shinyaku Benizakura-hen,8.52,1,137272,0,2010,2,5,340,0
100,Kenpuu Denki Berserk,8.52,100,502018,2,1997,2,5,340,0
101,One Punch Man,8.52,100,2630981,2,2015,2,5,340,0
102,Perfect Blue,8.52,1,516301,0,1998,2,5,340,0
103,Shingeki no Kyojin,8.52,100,3202670,2,2013,2,5,340,0
104,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.51,100,629756,2,2021,2,5,340,0
105,Steins;Gate 0,8.51,100,716423,2,2018,2,5,340,0
107,Uchuu Kyoudai,8.51,100,168484,2,2012,2,5,340,0
108,86 Part 2,8.51,100,209410,2,2021,2,5,340,0
109,Banana Fish,8.51,100,647400,2,2018,2,5,340,0
110,Josee to Tora to Sakana-tachi,8.51,1,233573,0,2020,2,5,340,0
111,Aria the Origination,8.5,100,109733,2,2008,2,5,340,0
112,Hotaru no Haka,8.5,1,538764,0,1988,2,5,340,0
113,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.5,100,853714,2,2016,2,5,340,0
114,Nana,8.5,100,508306,2,2006,2,5,340,0
115,Rainbow: Nisha Rokubou no Shichinin,8.5,100,344540,2,2010,2,5,340,0
116,Samurai Champloo,8.5,100,1047390,2,2004,2,5,340,0
117,Shingeki no Kyojin Season 2,8.49,100,2134174,2,2017,2,5,340,0
118,Chihayafuru 3,8.49,100,111570,2,2019,2,5,340,0
120,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.48,1,587948,0,2019,2,5,340,0
122,Mob Psycho 100,8.48,100,1609834,2,2016,2,5,340,0
123,Vivy: Fluorite Eye's Song,8.48,100,350530,2,2021,2,5,340,0
124,Saenai Heroine no Sodatekata Fine,8.47,1,135743,0,2019,2,5,340,0
125,Zoku Owarimonogatari,8.47,100,185487,0,2018,2,5,340,0
127,Nichijou,8.46,100,750519,2,2011,2,5,340,0
128,Owarimonogatari,8.46,100,415321,2,2015,2,5,340,0
129,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.46,1,511154,0,2013,2,5,340,0
130,Haikyuu!!,8.46,100,1579864,2,2014,2,5,340,0
131,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.46,1,323464,0,2013,2,5,340,0
132,Golden Kamuy 3rd Season,8.45,100,114010,2,2020,2,5,340,0
135,Yuu☆Yuu☆Hakusho,8.45,500,566577,2,1992,2,5,340,0
136,Mononoke,8.44,100,262770,2,2007,2,5,340,0
137,Saiki Kusuo no Ψ-nan 2,8.44,100,492239,2,2018,2,5,340,0
139,Gintama: Yorinuki Gintama-san on Theater 2D,8.44,100,37321,0,2012,2,5,340,0
140,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.44,100,853446,2,2015,2,5,340,0
141,Kobayashi-san Chi no Maid Dragon S,8.44,100,387507,2,2021,2,5,340,0
142,Grand Blue,8.43,100,583392,2,2018,2,5,340,0
143,Koukaku Kidoutai: Stand Alone Complex,8.43,100,354582,2,2002,2,5,340,0
144,Saiki Kusuo no Ψ-nan,8.43,500,838368,2,2016,2,5,340,0
145,Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.42,1,56329,0,2018,2,5,340,0
146,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.42,1,328579,0,2018,2,5,340,0
147,Fumetsu no Anata e,8.42,100,601693,2,2021,2,5,340,0
148,Kara no Kyoukai 7: Satsujin Kousatsu (Go),8.42,1,183098,0,2009,2,5,340,0
149,Kono Oto Tomare! 2nd Season,8.42,100,122110,2,2019,2,5,340,0
150,Major S5,8.42,100,63230,2,2009,2,5,340,0
151,Gintama°: Aizome Kaori-hen,8.41,100,70795,1,2016,2,5,340,0
152,Kaze ga Tsuyoku Fuiteiru,8.41,100,245216,2,2018,2,5,340,0
153,Non Non Biyori Nonstop,8.41,100,92268,2,2021,2,5,340,0
154,Shingeki no Kyojin: Kuinaki Sentaku,8.41,100,412303,1,2014,2,5,340,0
155,Tensei shitara Slime Datta Ken 2nd Season,8.41,100,649482,2,2021,2,5,340,0
156,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.41,1,297089,0,2019,2,5,340,0
158,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.4,100,552269,2,2020,2,5,340,0
159,3-gatsu no Lion,8.4,100,569721,2,2016,2,5,340,0
160,Chihayafuru 2,8.4,100,206022,2,2013,2,5,340,0
161,Cross Game,8.4,100,110878,2,2009,2,5,340,0
162,Houseki no Kuni (TV),8.4,100,365874,2,2017,2,5,340,0
163,Hunter x Hunter,8.4,100,495686,2,1999,2,5,340,0
164,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.4,100,1285720,2,2019,2,5,340,0
165,Baccano!,8.39,100,799437,2,2007,2,5,340,0
166,Barakamon,8.39,100,573675,2,2014,2,5,340,0
167,Kizumonogatari I: Tekketsu-hen,8.39,1,443680,0,2016,2,5,340,0
168,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.39,100,866768,2,2020,2,5,340,0
170,Usagi Drop,8.39,100,435846,2,2011,2,5,340,0
171,Cowboy Bebop: Tengoku no Tobira,8.38,1,316536,0,2001,2,5,340,0
172,Kamisama Hajimemashita: Kako-hen,8.38,100,137830,1,2015,2,5,340,0
173,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.38,1,179029,0,2012,2,5,340,0
174,Bakuman. 2nd Season,8.37,100,317675,2,2011,2,5,340,0
175,Hellsing Ultimate,8.37,100,779384,1,2006,2,5,340,0
176,Kaze no Tani no Nausicaä,8.37,1,314321,0,1984,2,5,340,0
178,Kingdom 2nd Season,8.36,100,93925,2,2013,2,5,340,0
179,Kiseijuu: Sei no Kakuritsu,8.36,100,1536834,2,2014,2,5,340,0
180,Mahou Shoujo Madoka★Magica,8.36,100,1100530,2,2011,2,5,340,0
181,Mushoku Tensei: Isekai Ittara Honki Dasu,8.36,100,790981,2,2021,2,5,340,0
182,Psycho-Pass,8.36,100,1400176,2,2012,2,5,340,0
184,Shoujo☆Kageki Revue Starlight Movie,8.35,1,5988,0,2021,2,5,340,0
185,Uchuu Senkan Yamato 2199,8.35,100,101272,1,2012,2,5,340,0
186,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.35,100,1391317,2,2011,2,5,340,0
187,Bakemonogatari,8.35,100,1227336,2,2009,2,5,340,0
189,Given,8.35,100,421005,2,2019,2,5,340,0
190,Haikyuu!!: To the Top,8.35,100,703401,2,2020,2,5,340,0
191,Major S6,8.35,100,55760,2,2010,2,5,340,0
192,K-On! Movie,8.34,1,279978,0,2011,2,5,340,0
193,Katanagatari,8.34,100,497860,2,2010,2,5,340,0
194,Made in Abyss Movie 2: Hourou Suru Tasogare,8.34,1,84639,0,2019,2,5,340,0
195,Mobile Suit Gundam: The Origin,8.34,100,59819,1,2015,2,5,340,0
196,Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.34,1,70124,1,2014,2,5,340,0
197,Neon Genesis Evangelion,8.34,100,1448378,2,1995,2,5,340,0
198,One Outs,8.34,100,205676,2,2008,2,5,340,0
199,Ookami to Koushinryou II,8.34,100,434331,2,2009,2,5,340,0
200,Versailles no Bara,8.34,100,79127,2,1979,2,5,340,0
202,Romeo no Aoi Sora,8.33,100,42279,2,1995,2,5,340,0
203,Sakamichi no Apollon,8.33,100,328168,2,2012,2,5,340,0
204,Tenki no Ko,8.33,1,720828,0,2019,2,5,340,0
205,Evangelion: 2.0 You Can (Not) Advance,8.33,1,437608,0,2009,2,5,340,0
206,Kemono no Souja Erin,8.33,100,75650,2,2009,2,5,340,0
207,Boku dake ga Inai Machi,8.32,100,1718925,2,2016,2,5,340,0
208,Doukyuusei (Movie),8.32,1,212464,0,2016,2,5,340,0
209,Fate/stay night: Unlimited Blade Works 2nd Season,8.32,100,727970,2,2015,2,5,340,0
210,Hotarubi no Mori e,8.32,1,690959,0,2011,2,5,340,0
211,Kimetsu no Yaiba: Mugen Ressha-hen,8.32,100,256107,2,2021,2,5,340,0
212,Major: World Series,8.32,100,32598,1,2011,2,5,340,0
213,Natsume Yuujinchou,8.32,100,463284,2,2008,2,5,340,0
214,NHK ni Youkoso!,8.32,100,617988,2,2006,2,5,340,0
217,Shinsekai yori,8.31,100,690038,2,2012,2,5,340,0
218,Shirobako,8.31,100,395567,2,2014,2,5,340,0
219,Tensei shitara Slime Datta Ken 2nd Season Part 2,8.31,100,458680,2,2021,2,5,340,0
220,Diamond no Ace: Second Season,8.31,100,116599,2,2015,2,5,340,0
222,Fate/Zero,8.31,100,1290138,2,2011,2,5,340,0
223,Hunter x Hunter: Original Video Animation,8.31,100,112409,1,2002,2,5,340,0
225,Kuroko no Basket 3rd Season,8.31,100,625671,2,2015,2,5,340,0
226,Beck,8.3,100,291320,2,2004,2,5,340,0
227,Detective Conan Movie 06: The Phantom of Baker Street,8.3,1,66645,0,2002,2,5,340,0
228,Dr. Stone,8.3,100,1330815,2,2019,2,5,340,0
229,Hibike! Euphonium 2,8.3,100,191486,2,2016,2,5,340,0
230,Initial D First Stage,8.3,100,285216,2,1998,2,5,340,0
231,Kino no Tabi: The Beautiful World,8.3,100,260278,2,2003,2,5,340,0
232,Rurouni Kenshin: Meiji Kenkaku Romantan,8.3,100,432253,2,1996,2,5,340,0
234,Nodame Cantabile,8.29,100,284012,2,2007,2,5,340,0
235,Redline,8.29,1,307239,0,2009,2,5,340,0
236,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.29,100,1340042,2,2018,2,5,340,0
237,Stranger: Mukou Hadan,8.29,1,291519,0,2007,2,5,340,0
238,Tsubasa: Tokyo Revelations,8.29,100,87340,1,2007,2,5,340,0
239,Bakemono no Ko,8.29,1,359294,0,2015,2,5,340,0
241,Kono Subarashii Sekai ni Shukufuku wo! 2,8.29,100,1235557,2,2017,2,5,340,0
242,Ashita no Joe,8.28,100,70243,2,1970,2,5,340,0
243,Gin no Saji 2nd Season,8.28,100,131014,2,2014,2,5,340,0
244,Great Pretender,8.28,100,476484,2,2020,2,5,340,0
245,Gyakkyou Burai Kaiji: Ultimate Survivor,8.28,100,295096,2,2007,2,5,340,0
246,Koukaku Kidoutai,8.28,1,527948,0,1995,2,5,340,0
247,Planetes,8.28,100,217497,2,2003,2,5,340,0
248,Tokyo Godfathers,8.28,1,234508,0,2003,2,5,340,0
249,Tenkuu no Shiro Laputa,8.27,1,396942,0,1986,2,5,340,0
250,Tonari no Totoro,8.27,1,870803,0,1988,2,5,340,0
252,Yuru Camp△,8.27,100,388769,2,2018,2,5,340,0
254,Hunter x Hunter: Greed Island Final,8.27,100,125808,1,2004,2,5,340,0
255,Luo Xiao Hei Zhan Ji (Movie),8.26,1,13484,0,2019,2,5,340,0
256,Non Non Biyori Movie: Vacation,8.26,1,62034,0,2018,2,5,340,0
258,Re:Zero kara Hajimeru Isekai Seikatsu,8.26,100,1820894,2,2016,2,5,340,0
259,Sennen Joyuu,8.26,1,148126,0,2002,2,5,340,0
260,Space☆Dandy 2nd Season,8.26,100,145785,2,2014,2,5,340,0
261,Stand By Me Doraemon 2,8.26,1,12275,0,2020,2,5,340,0
262,Nodame Cantabile: Finale,8.25,100,118745,2,2010,2,5,340,0
263,Youjo Senki Movie,8.25,1,210576,0,2019,2,5,340,0
264,Danshi Koukousei no Nichijou,8.25,100,698092,2,2012,2,5,340,0
265,Gyakkyou Burai Kaiji: Hakairoku-hen,8.25,100,163695,2,2011,2,5,340,0
266,Initial D Final Stage,8.25,100,107352,2,2014,2,5,340,0
267,Kuroshitsuji Movie: Book of the Atlantic,8.25,1,161425,0,2017,2,5,340,0
269,Diamond no Ace: Act II,8.24,100,69758,2,2019,2,5,340,0
270,IDOLiSH7: Third Beat!,8.24,100,13026,2,2021,2,5,340,0
271,Kuroko no Basket 2nd Season,8.24,100,711068,2,2013,2,5,340,0
272,Magi: The Kingdom of Magic,8.24,100,733709,2,2013,2,5,340,0
273,Major S1,8.24,100,89211,2,2004,2,5,340,0
274,Major S3,8.24,100,61833,2,2007,2,5,340,0
275,No Game No Life: Zero,8.24,1,728274,0,2017,2,5,340,0
276,One Piece Movie 14: Stampede,8.24,1,118387,0,2019,2,5,340,0
277,Ookami to Koushinryou,8.24,100,713460,2,2008,2,5,340,0
279,Tokyo Revengers,8.24,100,786019,2,2021,2,5,340,0
280,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.24,100,880443,2,2015,2,5,340,0
281,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,8.23,100,114529,2,2016,2,5,340,0
282,Naruto: Shippuuden,8.23,500,1969677,2,2007,2,5,340,0
283,SKET Dance,8.23,100,203330,2,2011,2,5,340,0
284,xxxHOLiC: Kei,8.23,100,126276,2,2008,2,5,340,0
285,Yuukoku no Moriarty 2nd Season,8.23,100,162702,2,2021,2,5,340,0
286,Dororo,8.23,100,928151,2,2019,2,5,340,0
288,Hachimitsu to Clover II,8.23,100,97285,2,2006,2,5,340,0
289,Hajime no Ippo: Mashiba vs. Kimura,8.23,1,87935,1,2003,2,5,340,0
290,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,8.23,1,176544,0,2012,2,5,340,0
291,Detective Conan Movie 13: The Raven Chaser,8.22,1,51247,0,2009,2,5,340,0
293,Fruits Basket 1st Season,8.22,100,597431,2,2019,2,5,340,0
294,Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,8.22,100,18366,0,2019,2,5,340,0
295,Golden Kamuy 2nd Season,8.22,100,148575,2,2018,2,5,340,0
296,Kono Sekai no Katasumi ni,8.22,1,152148,0,2016,2,5,340,0
297,Majo no Takkyuubin,8.22,1,460652,0,1989,2,5,340,0
298,Major S2,8.22,100,64190,2,2005,2,5,340,0
299,Mimi wo Sumaseba,8.22,1,278252,0,1995,2,5,340,0
300,Trigun,8.22,100,630483,2,1998,2,5,340,0
303,Toaru Kagaku no Railgun T,8.21,100,183409,2,2020,2,5,340,0
304,xxxHOLiC: Rou,8.21,100,62199,1,2010,2,5,340,0
305,Yoru wa Mijikashi Arukeyo Otome,8.21,1,98234,0,2017,2,5,340,0
306,Bungou Stray Dogs 3rd Season,8.21,100,445391,2,2019,2,5,340,0
307,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,8.21,1,359381,0,2017,2,5,340,0
308,Horimiya,8.21,100,882966,2,2021,2,5,340,0
309,InuYasha: Kanketsu-hen,8.21,100,242866,2,2009,2,5,340,0
310,Kaguya-hime no Monogatari,8.21,1,180476,0,2013,2,5,340,0
311,Little Busters!: Refrain,8.21,100,148430,2,2013,2,5,340,0
312,Major S4,8.21,100,58498,2,2008,2,5,340,0
313,86,8.2,100,432252,2,2021,2,5,340,0
314,Bakuman.,8.2,100,549718,2,2010,2,5,340,0
315,Ballroom e Youkoso,8.2,100,273701,2,2017,2,5,340,0
316,Berserk: Ougon Jidai-hen III - Kourin,8.2,1,182971,0,2013,2,5,340,0
317,Bungou Stray Dogs 2nd Season,8.2,100,650296,2,2016,2,5,340,0
318,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.2,1,103719,0,2000,2,5,340,0
319,Chihayafuru,8.2,100,398484,2,2011,2,5,340,0
321,Fate/stay night: Unlimited Blade Works,8.2,100,893642,2,2014,2,5,340,0
322,Higurashi no Naku Koro ni Kai,8.2,100,429768,2,2007,2,5,340,0
323,"Komi-san wa, Comyushou desu.",8.2,100,457856,2,2021,2,5,340,0
324,Liz to Aoi Tori,8.2,1,105430,0,2018,2,5,340,0
325,Nomad: Megalo Box 2,8.2,100,152846,2,2021,2,5,340,0
327,Shokugeki no Souma,8.2,100,1406423,2,2015,2,5,340,0
328,Non Non Biyori Repeat,8.19,100,173787,2,2015,2,5,340,0
329,Senki Zesshou Symphogear XV,8.19,100,32512,2,2019,2,5,340,0
330,Shoujo Shuumatsu Ryokou,8.19,100,272556,2,2017,2,5,340,0
331,Asobi Asobase,8.19,100,369768,2,2018,2,5,340,0
332,Boku no Hero Academia 2nd Season,8.19,100,2078543,2,2017,2,5,340,0
333,Dr. Stone: Stone Wars,8.19,100,736086,2,2021,2,5,340,0
334,Girls & Panzer Movie,8.19,1,89723,0,2015,2,5,340,0
335,Hunter x Hunter: Greed Island,8.19,100,133801,1,2003,2,5,340,0
336,Maison Ikkoku,8.19,100,58861,2,1986,2,5,340,0
337,Aria the Natural,8.18,100,70085,2,2006,2,5,340,0
338,Black Lagoon: The Second Barrage,8.18,100,434696,2,2006,2,5,340,0
339,Death Parade,8.18,100,1469585,2,2015,2,5,340,0
340,Digimon Adventure: Last Evolution Kizuna,8.18,1,32151,0,2020,2,5,340,0
342,Kamisama Hajimemashita◎,8.18,100,313061,2,2015,2,5,340,0
343,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,8.18,1,223651,0,2015,2,5,340,0
344,Major: Message,8.18,1,27316,1,2010,2,5,340,0
346,Noragami Aragoto,8.18,100,1245076,2,2015,2,5,340,0
347,Shoujo Kakumei Utena,8.18,100,179375,2,1997,2,5,340,0
348,Ouran Koukou Host Club,8.17,100,965111,2,2006,2,5,340,0
349,Tanoshii Muumin Ikka,8.17,100,21263,2,1990,2,5,340,0
351,World Trigger 3rd Season,8.17,100,58736,2,2021,2,5,340,0
352,Detective Conan Movie 20: The Darkest Nightmare,8.17,1,33794,0,2016,2,5,340,0
353,Hinamatsuri (TV),8.17,100,416781,2,2018,2,5,340,0
355,Akira,8.16,1,680571,0,1988,2,5,340,0
356,Detective Conan,8.16,1,294167,2,1996,2,5,340,0
357,Gankutsuou,8.16,100,217403,2,2004,2,5,340,0
358,Given Movie,8.16,1,162522,0,2020,2,5,340,0
359,K-On!!,8.16,100,593350,2,2010,2,5,340,0
360,Lupin III: Part 5,8.16,100,36080,2,2018,2,5,340,0
361,Nisemonogatari,8.16,100,651915,2,2012,2,5,340,0
362,One Piece Film: Z,8.16,1,216656,0,2012,2,5,340,0
363,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,8.16,1,143969,0,2008,2,5,340,0
364,Nodame Cantabile: Paris-hen,8.15,100,114462,2,2008,2,5,340,0
365,Seirei no Moribito,8.15,100,194950,2,2007,2,5,340,0
366,Toki wo Kakeru Shoujo,8.15,1,695528,0,2006,2,5,340,0
367,Cardcaptor Sakura,8.15,100,377676,2,1998,2,5,340,0
368,Dragon Ball Z,8.15,500,1045807,2,1989,2,5,340,0
369,Eizouken ni wa Te wo Dasu na!,8.15,100,273015,2,2020,2,5,340,0
370,Given: Uragawa no Sonzai,8.15,1,47844,1,2021,2,5,340,0
371,IDOLiSH7: Second Beat!,8.15,100,22072,2,2020,2,5,340,0
372,Kaiba,8.15,100,128664,2,2008,2,5,340,0
373,Katekyo Hitman Reborn!,8.15,500,504145,2,2006,2,5,340,0
374,Lupin III: Cagliostro no Shiro,8.15,1,97750,0,1979,2,5,340,0
375,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,8.15,1,21725,0,2012,2,5,340,0
376,5-toubun no Hanayome ∬,8.14,100,500348,2,2021,2,5,340,0
379,Ginga Eiyuu Densetsu Gaiden,8.14,100,20609,1,1998,2,5,340,0
380,Haikyuu!! Movie 4: Concept no Tatakai,8.14,1,57623,0,2017,2,5,340,0
381,Initial D Fourth Stage,8.14,100,142684,2,2004,2,5,340,0
383,Made in Abyss Movie 1: Tabidachi no Yoake,8.14,1,82923,0,2019,2,5,340,0
384,Tonikaku Kawaii: SNS,8.14,1,88671,1,2021,2,5,340,0
385,Toradora!,8.14,100,1876411,2,2008,2,5,340,0
386,Mobile Suit Gundam Unicorn,8.13,100,85785,1,2010,2,5,340,0
387,No Game No Life,8.13,100,2056999,2,2014,2,5,340,0
388,One Piece Film: Strong World,8.13,1,200577,0,2009,2,5,340,0
390,Quanzhi Gaoshou Zhi Dianfeng Rongyao,8.13,1,38497,0,2019,2,5,340,0
391,Sakura-sou no Pet na Kanojo,8.13,100,1081859,2,2012,2,5,340,0
